2013-04-22 06:44:16 status unpacked libc-bin:armhf 2.15-0ubuntu20
2013-04-22 06:44:16 status unpacked libc-bin:armhf 2.15-0ubuntu20
2013-04-22 06:44:17 upgrade libc6:armhf 2.15-0ubuntu20 2.15-0ubuntu20
2013-04-22 06:44:17 status half-configured libc6:armhf 2.15-0ubuntu20
2013-04-22 06:44:17 status unpacked libc6:armhf 2.15-0ubuntu20
2013-04-22 06:44:17 status half-installed libc6:armhf 2.15-0ubuntu20
2013-04-22 06:44:22 status half-installed libc6:armhf 2.15-0ubuntu20
2013-04-22 06:44:22 status unpacked libc6:armhf 2.15-0ubuntu20
2013-04-22 06:44:22 status unpacked libc6:armhf 2.15-0ubuntu20
2013-04-22 06:44:22 install libcomerr2:armhf <none> 1.42.5-1ubuntu2
2013-04-22 06:44:22 status half-installed libcomerr2:armhf 1.42.5-1ubuntu2
2013-04-22 06:44:22 status unpacked libcomerr2:armhf 1.42.5-1ubuntu2
2013-04-22 06:44:22 status unpacked libcomerr2:armhf 1.42.5-1ubuntu2
2013-04-22 06:44:22 install libdb5.1:armhf <none> 5.1.29-5ubuntu2
2013-04-22 06:44:22 status half-installed libdb5.1:armhf 5.1.29-5ubuntu2
2013-04-22 06:44:23 status unpacked libdb5.1:armhf 5.1.29-5ubuntu2
2013-04-22 06:44:23 status unpacked libdb5.1:armhf 5.1.29-5ubuntu2
2013-04-22 06:44:23 install libdbus-1-3:armhf <none> 1.6.4-1ubuntu4
2013-04-22 06:44:23 status half-installed libdbus-1-3:armhf 1.6.4-1ubuntu4
2013-04-22 06:44:23 status unpacked libdbus-1-3:armhf 1.6.4-1ubuntu4
2013-04-22 06:44:23 status unpacked libdbus-1-3:armhf 1.6.4-1ubuntu4
2013-04-22 06:44:23 install libdrm-nouveau1a:armhf <none> 2.4.39-0ubuntu1
2013-04-22 06:44:23 status half-installed libdrm-nouveau1a:armhf 2.4.39-0ubuntu1
2013-04-22 06:44:23 status unpacked libdrm-nouveau1a:armhf 2.4.39-0ubuntu1
2013-04-22 06:44:23 status unpacked libdrm-nouveau1a:armhf 2.4.39-0ubuntu1
2013-04-22 06:44:23 install libdrm-radeon1:armhf <none> 2.4.39-0ubuntu1
2013-04-22 06:44:23 status half-installed libdrm-radeon1:armhf 2.4.39-0ubuntu1
2013-04-22 06:44:23 status unpacked libdrm-radeon1:armhf 2.4.39-0ubuntu1
2013-04-22 06:44:23 status unpacked libdrm-radeon1:armhf 2.4.39-0ubuntu1
2013-04-22 06:44:23 install libdrm2:armhf <none> 2.4.39-0ubuntu1
2013-04-22 06:44:23 status half-installed libdrm2:armhf 2.4.39-0ubuntu1
2013-04-22 06:44:23 status unpacked libdrm2:armhf 2.4.39-0ubuntu1
2013-04-22 06:44:23 status unpacked libdrm2:armhf 2.4.39-0ubuntu1
2013-04-22 06:44:24 install libffi6:armhf <none> 3.0.11-2
